"filename", "language", "Go", "Go Checksum File", "Go Module File", "Python", "YAML", "Batch", "Markdown", "XML", "JSON", "comment", "blank", "total"
"g:\code\DCA-IOT-system\.idea\go-backend.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"g:\code\DCA-IOT-system\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"g:\code\DCA-IOT-system\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"g:\code\DCA-IOT-system\README.assets\iotdb-16937282428023.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.assets\iotdb-16937282657945.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.assets\iotdb-16937282677977.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.assets\iotdb-16937282691659.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.assets\iotdb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.assets\license-Apache 2-4EB1BA.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\code\DCA-IOT-system\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 139, 422
"g:\code\DCA-IOT-system\api\common\db\database.go", "Go", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"g:\code\DCA-IOT-system\api\common\db\device_database.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"g:\code\DCA-IOT-system\api\common\jwt.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"g:\code\DCA-IOT-system\api\common\middleware\CORS_middleware.go", "Go", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
