Date : 2023-09-23 15:59:40
Directory : g:\code\DCA-IOT-system
Total : 113 files,  14379 codes, 720 comments, 889 blanks, all 15988 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         96 |      8,346 |        720 |        737 |      9,803 |
| JSON             |          1 |      2,844 |          0 |          0 |      2,844 |
| YAML             |          2 |      1,954 |          0 |          1 |      1,955 |
| Go Checksum File |          1 |        803 |          0 |          1 |        804 |
| Markdown         |          1 |        283 |          0 |        139 |        422 |
| Go Module File   |          1 |         91 |          0 |          5 |         96 |
| XML              |          9 |         29 |          0 |          0 |         29 |
| Python           |          1 |         21 |          0 |          4 |         25 |
| Batch            |          1 |          8 |          0 |          2 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        113 |     14,379 |        720 |        889 |     15,988 |
| . (Files)                                                                  |          4 |      1,220 |         30 |        154 |      1,404 |
| .idea                                                                      |          3 |         23 |          0 |          0 |         23 |
| README.assets                                                              |          6 |          6 |          0 |          0 |          6 |
| api                                                                        |         94 |      5,443 |        687 |        723 |      6,853 |
| api\common                                                                 |          7 |        242 |          1 |         36 |        279 |
| api\common (Files)                                                         |          1 |         35 |          0 |          7 |         42 |
| api\common\db                                                              |          2 |         89 |          0 |         15 |        104 |
| api\common\middleware                                                      |          4 |        118 |          1 |         14 |        133 |
| api\rule                                                                   |         27 |      1,030 |         12 |        152 |      1,194 |
| api\rule (Files)                                                           |          1 |         19 |          0 |          8 |         27 |
| api\rule\accepter                                                          |          4 |        145 |          0 |         28 |        173 |
| api\rule\actions                                                           |          4 |        110 |          0 |         28 |        138 |
| api\rule\rulelog                                                           |          2 |         21 |          0 |          6 |         27 |
| api\rule\ruleparser                                                        |         13 |        713 |         12 |         71 |        796 |
| api\rule\ruleparser (Files)                                                |         10 |        509 |         12 |         61 |        582 |
| api\rule\ruleparser\matcher                                                |          3 |        204 |          0 |         10 |        214 |
